stage,epoch,loss,first_margin,revise_margin,disagreement_margin,samples,exact_acc,char_acc,fixed,broken,net_fixes,mean_cost,stop_rate,revise_rate
bc_locked,0,0.0,0.0,0.0,0.1,527,0.8159392789373814,0.9502304147465438,4,2,2,0.0016944971537001898,0.8026565464895635,0.0
ppo,1,0.017290005704853683,0.0,0.0,0.1,527,0.8159392789373814,0.9502304147465438,4,2,2,0.0016944971537001898,0.8026565464895635,0.0
ppo,2,0.010148025921080262,0.0,0.0,0.0,527,0.8159392789373814,0.9504608294930875,10,8,2,0.0043946869070208726,0.4307400379506641,0.0
ppo,3,0.008561614489493271,0.0,0.0,0.1,527,0.8159392789373814,0.9502304147465438,4,2,2,0.0016944971537001898,0.8026565464895635,0.0018975332068311196
ppo,4,0.008242960976591955,0.0,0.0,0.1,527,0.8159392789373814,0.9502304147465438,4,2,2,0.0016944971537001898,0.8026565464895635,0.0018975332068311196
ppo,5,0.006782620635608004,0.0,0.0,0.1,527,0.8159392789373814,0.9502304147465438,4,2,2,0.0016944971537001898,0.8026565464895635,0.0
ppo,6,0.00601860870115666,0.0,0.0,0.1,527,0.8159392789373814,0.9502304147465438,4,2,2,0.0016944971537001898,0.8026565464895635,0.0
ppo,7,0.005452302654480768,0.0,0.0,0.2,527,0.8159392789373814,0.9502304147465438,4,2,2,0.0016944971537001898,0.8026565464895635,0.0
ppo,8,0.006417424306069892,0.1,0.05,0.0,527,0.8159392789373814,0.9504608294930875,9,7,2,0.004741935483870968,0.3795066413662239,0.0
ppo,9,0.005340773187313086,0.2,0.0,0.2,527,0.8140417457305503,0.95,4,3,1,0.0024933586337760913,0.7115749525616698,0.0
ppo,10,0.005447383949665424,0.2,0.0,-2.0,527,0.8121442125237192,0.9518433179723502,9,9,0,0.0061252371916508536,0.24478178368121442,0.007590132827324478
ppo,11,0.0038441822894650403,0.2,0.05,0.0,527,0.8140417457305503,0.9529953917050691,8,7,1,0.005607210626185959,0.2656546489563567,0.0
ppo,12,0.004333727734794464,0.2,0.05,0.0,527,0.8140417457305503,0.9529953917050691,8,7,1,0.005920303605313093,0.222011385199241,0.0
ppo,13,0.0023897050325173497,0.0,0.05,0.0,527,0.8159392789373814,0.9527649769585254,9,7,2,0.006895635673624289,0.09108159392789374,0.0
ppo,14,0.0009370943546661588,0.1,0.0,0.0,527,0.8178368121442126,0.9529953917050691,9,6,3,0.007041745730550285,0.08159392789373814,0.009487666034155597
ppo,15,0.0011198728993755355,0.1,0.05,0.1,527,0.8159392789373814,0.9516129032258065,9,7,2,0.007036053130929791,0.07969639468690702,0.0
ppo,16,0.0021187238350150084,0.2,0.05,0.2,527,0.8140417457305503,0.95,8,7,1,0.007028462998102466,0.08538899430740038,0.0
ppo,17,0.0006431283551939233,0.2,0.05,0.2,527,0.8102466793168881,0.9490783410138249,6,7,-1,0.007197343453510437,0.07210626185958255,0.0
