stage,epoch,loss,first_margin,revise_margin,disagreement_margin,samples,exact_acc,char_acc,fixed,broken,net_fixes,mean_cost,stop_rate,revise_rate
ppo,39,0.00320351931568758,0.0,0.0,0.2,397,0.9395465994962217,0.9883614088820827,5,0,5,0.0013551637279596975,0.8488664987405542,0.010075566750629723
ppo,40,0.002534066525707294,0.0,0.0,0.2,397,0.9370277078085643,0.9880551301684533,4,0,4,0.0009622166246851386,0.8916876574307305,0.0025188916876574307
ppo,41,0.00415302857886889,0.0,0.0,0.1,397,0.9370277078085643,0.9880551301684533,4,0,4,0.001075566750629723,0.8790931989924433,0.010075566750629723
ppo,42,0.003822531757621272,0.2,0.0,0.1,397,0.9370277078085643,0.9880551301684533,4,0,4,0.0008564231738035264,0.9042821158690176,0.0
ppo,43,0.004050708553669127,0.05,0.0,0.0,397,0.9370277078085643,0.9880551301684533,4,0,4,0.0008564231738035264,0.9042821158690176,0.0025188916876574307
ppo,44,0.0035660957494242627,0.05,0.0,0.0,397,0.9395465994962217,0.9883614088820827,5,0,5,0.0008186397984886649,0.9093198992443325,0.012594458438287154
ppo,45,0.004188885216681678,0.2,0.0,-0.5,397,0.9395465994962217,0.9880551301684533,5,0,5,0.001292191435768262,0.853904282115869,0.0025188916876574307
ppo,46,0.005759046257783969,0.2,0.0,-0.5,397,0.9395465994962217,0.9883614088820827,5,0,5,0.0009823677581863978,0.889168765743073,0.0025188916876574307
ppo,47,0.006151107203123378,0.2,0.0,-0.5,397,0.9395465994962217,0.9883614088820827,5,0,5,0.0008967254408060453,0.8992443324937027,0.0
ppo,48,0.004454331756598732,0.2,0.0,-0.5,397,0.9395465994962217,0.9883614088820827,5,0,5,0.0008438287153652393,0.9042821158690176,0.0
ppo,49,0.008212688099300055,0.1,0.0,-0.5,397,0.9395465994962217,0.9883614088820827,5,0,5,0.0007204030226700252,0.9193954659949622,0.0025188916876574307
ppo,50,0.0064467222486527115,0.2,0.0,-2.0,397,0.9395465994962217,0.9880551301684533,5,0,5,0.0010831234256926951,0.8740554156171285,0.0025188916876574307
