epoch,train_loss,train_mean_episode_reward,train_mean_ocr_bonus,seconds,val_psnr_before,val_psnr_after,val_psnr_gain
1,-0.0003794729766567521,-0.0008356442766774347,0.0,17.810900688171387,20.06615348131832,19.84859634555685,-0.21755713576147073
2,-0.0004057369698547637,0.00037789603345078393,0.0,17.06615710258484,20.06615348131832,18.993504207811863,-1.0726492735064568
3,-0.00042996100756167635,0.0007710694588477845,0.0,16.980915307998657,20.06615348131832,19.220225416628878,-0.845928064689442
4,-0.00048430920635481647,0.0009713196524661844,0.0,16.89227604866028,20.06615348131832,19.26474025731208,-0.8014132240062395
5,-0.0004632542793684558,0.0010546390511318232,0.0,16.96225118637085,20.06615348131832,19.392181658919107,-0.6739718223992135
6,-0.00043840966669528785,0.0012078041162686018,0.0,17.043063402175903,20.06615348131832,19.833609264195243,-0.2325442171230776
7,-0.0004749844497975731,0.0013099948485867808,0.0,16.9795663356781,20.06615348131832,19.509731016076543,-0.5564224652417771
8,-0.00047242695639041534,0.0014068421442061663,0.0,17.019813776016235,20.06615348131832,19.587450493835707,-0.4787029874826132
9,-0.0004480005818945558,0.001489956569655434,0.0,16.969346046447754,20.06615348131832,19.64022561819901,-0.4259278631193091
10,-0.0004926963728908247,0.001566276989330578,0.0,17.00283694267273,20.06615348131832,19.82934289561104,-0.23681058570728197
11,-0.0004696874330756659,0.0016484540183623524,0.0,16.958028316497803,20.06615348131832,20.00927206910733,-0.0568814122109913
12,-0.0005150941936375128,0.0017817325323172238,0.0,16.919248819351196,20.06615348131832,20.116181263731228,0.05002778241290784
13,-0.0005844683837494813,0.0019142937355512834,0.0,17.01294445991516,20.06615348131832,20.183672230708577,0.11751874939025697
14,-0.0006126444299614219,0.0020504019288953555,0.0,16.943468809127808,20.06615348131832,20.37317187521429,0.3070183938959694
15,-0.000682703590744337,0.002185993524187285,0.0,17.000964641571045,20.06615348131832,20.377844543751973,0.31169106243365263
16,-0.0006735249781226942,0.002296632548045043,0.0,16.984397888183594,20.06615348131832,20.580828226817502,0.5146747454991818
17,-0.0006903862930535663,0.0023917570892397475,0.0,16.98069715499878,20.06615348131832,20.70255652993523,0.6364030486169092
18,-0.0007004216193150648,0.002463118846366263,0.0,16.952696561813354,20.06615348131832,20.673758499724627,0.6076050184063071
19,-0.0007295346386735732,0.0025312438678077383,0.0,16.945340156555176,20.06615348131832,20.789456338754036,0.7233028574357157
20,-0.0007129002795251006,0.0025871148024199774,0.0,16.96772336959839,20.06615348131832,20.687671567835576,0.6215180865172556
21,-0.0007361397039621015,0.0026471021575043383,0.0,16.990322828292847,20.06615348131832,20.760616255692987,0.6944627743746672
22,-0.0007353430890994471,0.0027212858574626885,0.0,16.9952974319458,20.06615348131832,20.820604766802102,0.7544512854837819
23,-0.0007355355843648557,0.0027615735155489783,0.0,16.971019983291626,20.06615348131832,21.028185718208746,0.9620322368904262
24,-0.0007220044195571023,0.0028021393657621484,0.0,16.97882318496704,20.06615348131832,20.950419019813197,0.8842655384948763
25,-0.0007754988536876424,0.0028602099451033964,0.0,16.97648859024048,20.06615348131832,20.9552313290044,0.8890778476860781
26,-0.0007660870130917908,0.0028628117516231928,0.0,17.055225133895874,20.06615348131832,20.907447867996638,0.8412943866783174
27,-0.0007580175341623228,0.0029136792037878995,0.0,16.990920782089233,20.06615348131832,20.99497362387713,0.9288201425588092
28,-0.0007567721141917307,0.00296374072280267,0.0,17.0269296169281,20.06615348131832,21.091601765676998,1.0254482843586779
29,-0.0007909821073079239,0.003008859682544742,0.0,17.054646492004395,20.06615348131832,21.094140808019553,1.0279873267012327
