stage,epoch,loss,first_margin,revise_margin,samples,exact_acc,char_acc,fixed,broken,net_fixes,mean_cost,stop_rate,revise_rate
bc_locked,0,0.0,0.2,0.0,397,0.9319899244332494,0.9871362940275651,7,5,2,0.0037959697732997486,0.46851385390428213,0.0
ppo,1,0.007389608236243491,0.2,0.0,397,0.9319899244332494,0.9871362940275651,7,5,2,0.0037833753148614614,0.46851385390428213,0.0
ppo,2,0.004695720695814148,0.2,0.0,397,0.9319899244332494,0.9871362940275651,7,5,2,0.0037934508816120914,0.4634760705289673,0.0
ppo,3,0.003861171368998094,0.2,0.0,397,0.9319899244332494,0.9871362940275651,7,5,2,0.0038362720403022675,0.45591939546599497,0.0
ppo,4,0.004120587801326656,0.2,0.0,397,0.9319899244332494,0.9871362940275651,7,5,2,0.003916876574307305,0.44080604534005036,0.0
ppo,5,0.00290495262842605,0.2,0.0,397,0.9319899244332494,0.9871362940275651,7,5,2,0.003939546599496222,0.43828715365239296,0.0
ppo,6,0.00328953040743379,0.2,0.0,397,0.9319899244332494,0.9871362940275651,7,5,2,0.003984886649874056,0.4282115869017632,0.0
ppo,7,0.001938771120593196,0.2,0.0,397,0.9319899244332494,0.9871362940275651,7,5,2,0.004040302267002519,0.4156171284634761,0.0
ppo,8,0.001286391207001737,0.2,0.0,397,0.9319899244332494,0.9871362940275651,7,5,2,0.00420654911838791,0.3879093198992443,0.005037783375314861
ppo,9,0.0016016102309435443,0.2,0.0,397,0.9345088161209067,0.9874425727411945,7,4,3,0.004314861460957179,0.35768261964735515,0.0
ppo,10,0.0013397093913187095,0.2,0.01,397,0.9345088161209067,0.9874425727411945,7,4,3,0.004544080604534005,0.3047858942065491,0.0
ppo,11,0.0008881833007345435,0.2,0.0,397,0.9345088161209067,0.9874425727411945,7,4,3,0.004884130982367759,0.24181360201511334,0.0
ppo,12,0.00015814655175422384,0.2,0.0,397,0.9345088161209067,0.9865237366003062,7,4,3,0.005246851385390429,0.15365239294710328,0.007556675062972292
ppo,13,-0.0012935380331210553,0.2,0.0,397,0.9345088161209067,0.9874425727411945,7,4,3,0.0055289672544080615,0.0982367758186398,0.007556675062972292
ppo,14,0.0013701565969254702,0.2,0.0,397,0.9345088161209067,0.9874425727411945,7,4,3,0.0055793450881612095,0.08060453400503778,0.007556675062972292
ppo,15,-0.0006726807188643242,0.2,0.01,397,0.9345088161209067,0.9865237366003062,7,4,3,0.005544080604534006,0.05037783375314862,0.0025188916876574307
ppo,16,-0.0010266531889717425,0.2,0.0,397,0.9319899244332494,0.9862174578866769,7,5,2,0.005591939546599496,0.03526448362720403,0.015113350125944584
ppo,17,-0.0010565501219663089,0.2,0.0,397,0.9345088161209067,0.9877488514548239,7,4,3,0.005440806045340051,0.02518891687657431,0.017632241813602016
ppo,18,-0.0011685793062732105,0.2,0.0,397,0.9370277078085643,0.9880551301684533,7,3,4,0.005355163727959698,0.022670025188916875,0.010075566750629723
ppo,19,-0.002582219387429259,0.2,0.0,397,0.9370277078085643,0.9880551301684533,7,3,4,0.00529471032745592,0.012594458438287154,0.010075566750629723
ppo,20,-0.0020812794260641255,0.2,0.01,397,0.9370277078085643,0.9880551301684533,7,3,4,0.005226700251889169,0.010075566750629723,0.020151133501259445
ppo,21,-0.0013658669703300037,0.2,0.0,397,0.9370277078085643,0.9880551301684533,7,3,4,0.005068010075566752,0.010075566750629723,0.010075566750629723
ppo,22,-0.003293461927641479,0.0,0.0,397,0.9370277078085643,0.9880551301684533,7,3,4,0.004909319899244333,0.007556675062972292,0.015113350125944584
ppo,23,-0.0025400646848889887,0.0,0.0,397,0.9370277078085643,0.9880551301684533,7,3,4,0.0047380352644836275,0.007556675062972292,0.017632241813602016
ppo,24,-0.002232556243638986,0.0,0.0,397,0.9370277078085643,0.9880551301684533,7,3,4,0.004584382871536525,0.007556675062972292,0.027707808564231738
ppo,25,-0.00312636977199603,0.0,0.0,397,0.9370277078085643,0.9880551301684533,7,3,4,0.004654911838790933,0.007556675062972292,0.02518891687657431
ppo,26,-0.0019746144738284842,0.2,0.0,397,0.9370277078085643,0.9880551301684533,7,3,4,0.00447103274559194,0.010075566750629723,0.0327455919395466
ppo,27,-0.0022338885917431777,0.2,0.0,397,0.9370277078085643,0.9880551301684533,7,3,4,0.004455919395465995,0.012594458438287154,0.022670025188916875
