epoch,train_loss,learning_rate,encoder_trainable,seconds,val_split,val_samples,val_exact_acc,val_cer,val_char_acc,val_refine_iters
1,0.24911840999390736,3e-06,False,52.29604080000718,val,397,0.924433249370277,0.014088820826952527,0.9859111791730475,1
2,0.2596707123552452,3e-06,True,61.4145911999949,val,397,0.9219143576826196,0.014088820826952527,0.9859111791730475,1
3,0.2249836690541619,2.9453155143795717e-06,True,67.32723939999414,val,397,0.9193954659949622,0.01439509954058193,0.9856049004594181,1
4,0.20506837724135557,2.785692269322095e-06,True,61.84297099999094,val,397,0.9193954659949622,0.01439509954058193,0.9856049004594181,1
