stage,epoch,loss,first_margin,revise_margin,disagreement_margin,samples,exact_acc,char_acc,fixed,broken,net_fixes,mean_cost,stop_rate,revise_rate
ppo,39,0.004478029161137307,0.0,0.1,0.2,397,0.9370277078085643,0.9889739663093415,5,1,4,0.0005289672544080605,0.9143576826196473,0.007556675062972292
ppo,40,0.005180299135320115,0.0,0.2,0.2,397,0.9370277078085643,0.9889739663093415,5,1,4,0.000491183879093199,0.9219143576826196,0.0025188916876574307
ppo,41,0.006872821362181143,0.2,0.05,0.1,397,0.9345088161209067,0.9886676875957121,4,1,3,0.0004584382871536524,0.9269521410579346,0.0025188916876574307
ppo,42,0.007015410359419974,0.1,0.0,0.2,397,0.9345088161209067,0.9886676875957121,4,1,3,0.0004206549118387909,0.9319899244332494,0.007556675062972292
ppo,43,0.00722580510881488,0.2,0.0,0.2,397,0.9370277078085643,0.9889739663093415,5,1,4,0.0004080604534005038,0.9370277078085643,0.007556675062972292
ppo,44,0.009733968157102757,0.0,0.0,0.2,397,0.9345088161209067,0.9886676875957121,4,1,3,0.0003677581863979849,0.9420654911838791,0.015113350125944584
ppo,45,0.008187389081789169,0.0,0.0,0.2,397,0.9370277078085643,0.9889739663093415,5,1,4,0.00036775818639798487,0.9420654911838791,0.020151133501259445
ppo,46,0.007123212652198924,0.0,0.0,0.0,397,0.9345088161209067,0.9886676875957121,4,1,3,0.00034760705289672546,0.947103274559194,0.020151133501259445
ppo,47,0.007881765434434876,0.0,0.0,0.1,397,0.9345088161209067,0.9886676875957121,4,1,3,0.00031486146095717883,0.9521410579345088,0.012594458438287154
ppo,48,0.006436798003657411,0.0,0.1,0.0,397,0.9345088161209067,0.9886676875957121,4,1,3,0.00028463476070528964,0.9546599496221663,0.010075566750629723
ppo,49,0.007068125333247426,0.0,0.0,0.0,397,0.9345088161209067,0.9886676875957121,4,1,3,0.0002896725440806045,0.9546599496221663,0.012594458438287154
ppo,50,0.010817565308469865,0.2,0.2,-0.5,397,0.9345088161209067,0.9886676875957121,4,1,3,0.0003576826196473552,0.9445843828715366,0.0
