stage,epoch,loss,first_margin,revise_margin,disagreement_margin,final_teacher_gain_margin,samples,exact_acc,char_acc,fixed,broken,net_fixes,mean_cost,stop_rate,revise_rate
ppo,37,0.007608686845439176,0.0,0.0,0.2,0.02,527,0.8216318785578748,0.9516129032258065,8,3,5,0.002366223908918406,0.683111954459203,0.007590132827324478
ppo,38,0.008269955834714316,0.0,0.0,0.1,0.02,527,0.8216318785578748,0.9516129032258065,8,3,5,0.0023681214421252374,0.683111954459203,0.009487666034155597
ppo,39,0.007531749689200473,0.0,0.05,0.0,0.02,527,0.8216318785578748,0.9516129032258065,8,3,5,0.002417457305502846,0.6793168880455408,0.007590132827324478
ppo,40,0.008924920079348388,0.0,0.1,0.0,0.02,527,0.8216318785578748,0.9516129032258065,8,3,5,0.002409867172675522,0.6774193548387096,0.009487666034155597
ppo,41,0.007753417626904544,0.0,0.1,0.0,0.02,527,0.8216318785578748,0.9516129032258065,8,3,5,0.002411764705882353,0.6793168880455408,0.0018975332068311196
ppo,42,0.008399445091634589,0.0,0.2,0.0,0.02,527,0.8216318785578748,0.9516129032258065,8,3,5,0.002459203036053131,0.6717267552182163,0.0018975332068311196
ppo,43,0.009188422714159775,0.0,0.0,0.2,0.02,527,0.8235294117647058,0.9516129032258065,9,3,6,0.0023757115749525617,0.6850094876660342,0.0056925996204933585
ppo,44,0.010078781485928083,0.0,0.2,0.2,0.0,527,0.8235294117647058,0.9509216589861751,9,3,6,0.004225806451612904,0.43833017077798864,0.013282732447817837
ppo,45,0.010299464411688067,0.0,0.2,0.2,0.0,527,0.8235294117647058,0.9509216589861751,9,3,6,0.004184060721062618,0.4497153700189753,0.0056925996204933585
ppo,46,0.012979781254500111,0.0,0.0,0.2,0.0,527,0.8235294117647058,0.9497695852534562,9,3,6,0.004032258064516129,0.4648956356736243,0.026565464895635674
ppo,47,0.01078643440143756,0.0,0.05,0.2,0.0,527,0.8235294117647058,0.9497695852534562,9,3,6,0.0040132827324478185,0.4629981024667932,0.020872865275142316
ppo,48,0.011652300205549908,0.0,0.1,0.2,0.0,527,0.8235294117647058,0.9497695852534562,9,3,6,0.0040113851992409875,0.4629981024667932,0.011385199240986717
ppo,49,0.014767616597925543,0.2,0.1,0.2,0.0,527,0.8235294117647058,0.9497695852534562,9,3,6,0.004001897533206831,0.4667931688804554,0.013282732447817837
ppo,50,0.010404042778740245,0.2,0.05,0.2,0.0,527,0.8235294117647058,0.9497695852534562,9,3,6,0.003963946869070209,0.47248576850094876,0.013282732447817837
