stage,epoch,loss,first_margin,revise_margin,samples,exact_acc,char_acc,fixed,broken,net_fixes,mean_cost,stop_rate,revise_rate
bc_locked,0,0.0,0.2,0.0,397,0.9269521410579346,0.9883614088820827,5,5,0,0.005246851385390427,0.3602015113350126,0.0
ppo,1,0.012373153795488178,0.2,0.0,397,0.9269521410579346,0.9883614088820827,5,5,0,0.005216624685138538,0.36272040302267,0.0
ppo,2,0.008822127040993008,0.2,0.0,397,0.9269521410579346,0.9883614088820827,5,5,0,0.005216624685138538,0.36272040302267,0.0
ppo,3,0.008571215305063459,0.2,0.0,397,0.9269521410579346,0.9883614088820827,5,5,0,0.005241813602015114,0.3602015113350126,0.0025188916876574307
ppo,4,0.008060903580755823,0.2,0.0,397,0.9269521410579346,0.9883614088820827,5,5,0,0.005272040302267003,0.35516372795969775,0.0
ppo,5,0.0067559056695447196,0.2,0.0,397,0.9269521410579346,0.9883614088820827,5,5,0,0.005219143576826197,0.35768261964735515,0.0
ppo,6,0.006434366302306039,0.2,0.0,397,0.9269521410579346,0.9883614088820827,5,5,0,0.005161209068010076,0.36272040302267,0.0025188916876574307
ppo,7,0.00574672498429815,0.2,0.0,397,0.9269521410579346,0.9883614088820827,5,5,0,0.005100755667506298,0.36272040302267,0.005037783375314861
ppo,8,0.004211499476029227,0.2,0.0,397,0.9269521410579346,0.9883614088820827,5,5,0,0.00508816120906801,0.35768261964735515,0.0
ppo,9,0.007111084607378062,0.2,0.0,397,0.9269521410579346,0.9883614088820827,5,5,0,0.0050554156171284635,0.35768261964735515,0.0025188916876574307
ppo,10,0.005352610729945203,0.2,0.0,397,0.9269521410579346,0.9883614088820827,5,5,0,0.005015113350125945,0.3526448362720403,0.0025188916876574307
ppo,11,0.0053256527197340295,0.2,0.0,397,0.9269521410579346,0.9883614088820827,5,5,0,0.004964735516372797,0.345088161209068,0.005037783375314861
ppo,12,0.004751249244954023,0.2,0.0,397,0.9269521410579346,0.9883614088820827,5,5,0,0.0048765743073047865,0.3425692695214106,0.0
ppo,13,0.004556847953548034,0.2,0.0,397,0.9269521410579346,0.9883614088820827,5,5,0,0.004871536523929471,0.33249370277078083,0.015113350125944584
ppo,14,0.004219400176467995,0.2,0.01,397,0.9269521410579346,0.9883614088820827,5,5,0,0.005120906801007557,0.29219143576826195,0.010075566750629723
ppo,15,0.002914603743960874,0.2,0.0,397,0.9269521410579346,0.9883614088820827,5,5,0,0.005392947103274559,0.23929471032745592,0.010075566750629723
ppo,16,0.0029813486319552693,0.2,0.01,397,0.9269521410579346,0.9883614088820827,5,5,0,0.005423173803526448,0.22418136020151133,0.017632241813602016
ppo,17,0.002127286756686011,0.2,0.0,397,0.9269521410579346,0.9883614088820827,5,5,0,0.005579345088161209,0.19899244332493704,0.012594458438287154
